ISO_639	Language_Name	Uninverted_Name	Country_Code	Country_Name	Region_Code	Region_Name	Area	L1_Users	Digits	All_Users	Countries	Family	Classification	Latitude	Longitude	EGIDS	Is_Written	Institutional	Developing	Vigorous	In_Trouble	Dying	Extinct
gry	Grebo, Barclayville	Barclayville Grebo	LR	Liberia	WAF	Western Africa	Africa	40500	5	40500	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Kru, Western, Grebo, Liberian	4.6774	-8.0981	6a	F	0	0	1	0	0	0
grz	Guramalum	Guramalum	PG	Papua New Guinea	MEL	Melanesia	Pacific	0	0	0	1	Austronesian	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Patpatar-Tolai	-4.1226	152.4033	x10	F	0	0	0	0	0	1
gse	Ghanaian Sign Language	Ghanaian Sign Language	GH	Ghana	WAF	Western Africa	Africa	111000	6	111000	1	Sign language	Sign language, Deaf Community Sign Languages	5.5523	-0.3026	5	T	0	1	0	0	0	0
gsg	German Sign Language	German Sign Language	DE	Germany	WEU	Western Europe	Europe	80000	5	80000	1	Sign language	Sign language, Deaf Community Sign Languages	50.8155	7.3049	5	T	0	1	0	0	0	0
gsl	Gusilay	Gusilay	SN	Senegal	WAF	Western Africa	Africa	21800	5	21800	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Atlantic, Northern, Bak, Jola, Jola Proper, Jola Central, Gusilay	12.7774	-16.5041	6a	T	0	0	1	0	0	0
gsm	Guatemalan Sign Language	Guatemalan Sign Language	GT	Guatemala	CAM	Central America	Americas	52000	5	52000	1	Sign language	Sign language, Deaf Community Sign Languages	14.5035	-90.5666	5	T	0	1	0	0	0	0
gsn	Nema	Nema	PG	Papua New Guinea	MEL	Melanesia	Pacific	800	3	800	1	Trans-New Guinea	Trans-New Guinea, Finisterre-Huon, Finisterre, Erap	-6.2992	146.6627	6a	F	0	0	1	0	0	0
gso	Gbaya, Southwest	Southwest Gbaya	CF	Central African Republic	MAF	Middle Africa	Africa	220000	6	220000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, North, Adamawa-Ubangi, Ubangi, Gbaya-Manza-Ngbaka, Southwest	4.4892	15.6040	5	T	0	1	0	0	0	0
gsp	Wasembo	Wasembo	PG	Papua New Guinea	MEL	Melanesia	Pacific	590	3	590	1	Trans-New Guinea	Trans-New Guinea, Madang, Croisilles, Pihom, Wasembo	-6.0287	146.0562	6a	F	0	0	1	0	0	0
gss	Greek Sign Language	Greek Sign Language	GR	Greece	SEU	Southern Europe	Europe	10700	5	10700	1	Sign language	Sign language, Deaf Community Sign Languages	38.0535	23.3763	5	T	0	1	0	0	0	0
gsw	German, Swiss	Swiss German	CH	Switzerland	WEU	Western Europe	Europe	5724200	7	5724200	5	Indo-European	Indo-European, Germanic, West, High German, German, Upper German, Alemannic	47.4805	8.3363	5	T	0	1	0	0	0	0
